zone,Zip Code,lat,lon
AECO,08079,39.678152,-75.476583
AEP,45801,40.7613765,-84.0906588
APS,21703,39.3936994,-77.4323945
ATSI,43605,41.6749207,-83.4822375
BGE,20723,39.1375554,-76.858971
COMED,60446,41.6457389,-88.0868375
DAY,18707,41.1409285,-75.9202553
DEOK,45052,39.1511112,-84.7330889
DOM,23692,37.1735705,-76.4301785
DPL,19720,39.6629786,-75.5685845
DUQ,15077,40.6280594,-80.4224187
JCPL,08848,37.4635361,126.9274013
METED,17403,39.9483516,-76.73064
PECO,19123,39.9630304,-75.1609274
PENELEC,16365,41.9041271,-79.1433561
PEPCO,20019,38.892831,-76.955336
PPL,18067,40.7193524,-75.4848804
PSEG,07657,40.8440056,-74.0074433
RECO,15235,40.4778187,-79.8101251
